"OBJECTID","access_code","access_days_time","access_detail_code","cards_accepted","date_last_confirmed","expected_date","fuel_type_code","groups_with_access_code","id","maximum_vehicle_class","open_date","owner_type_code","restricted_access","status_code","funding_sources","facility_type","station_name","station_phone","updated_at","geocode_status","latitude","longitude","city","country","intersection_directions","plus4","state","street_address","zip","bd_blends","cng_dispenser_num","cng_fill_type_code","cng_has_rng","cng_psi","cng_renewable_source","cng_total_compression","cng_total_storage","cng_vehicle_class","e85_blender_pump","e85_other_ethanol_blends","ev_connector_types","ev_dc_fast_num","ev_level1_evse_num","ev_level2_evse_num","ev_network","ev_network_web","ev_other_evse","ev_pricing","ev_renewable_source","ev_workplace_charging","hy_is_retail","hy_pressures","hy_standards","hy_status_link","lng_has_rng","lng_renewable_source","lng_vehicle_class","lpg_nozzle_types","lpg_primary","ng_fill_type_code","ng_psi","ng_vehicle_class","rd_blended_with_biodiesel","rd_blends","rd_blends_fr","rd_max_biodiesel_level","nps_unit_name","access_days_time_fr","intersection_directions_fr","bd_blends_fr","groups_with_access_code_fr","ev_pricing_fr","federal_agency_id","federal_agency_code","federal_agency_name","ev_network_ids_station","ev_network_ids_posts","x","y"
"2869","public","24 hours daily","","","3/26/2025 12:00:00 AM","","ELEC","Public",38976,"","3/15/2011 12:00:00 AM","","","E","","","WILLOWS LODGE WILLOWS #2","888-758-4389","3/26/2025 1:24:01 AM","GPS",47.734211,-122.147041,"Woodinville","US","Just past the main entrance on the right",NA,"WA","14580 NE 145th St","98072","",NA,"",NA,"","",NA,NA,"",NA,"","[J1772]",NA,"",2,"ChargePoint Network","https://www.chargepoint.com","","","",0,NA,"","","",NA,"","","",NA,"","","","","",NA,NA,"",NA,NA,NA,"Public",NA,NA,"","","[USCPIL795821]","[""1056831"",""1056841""]",-122.147040999774,47.7342109998511
"2994","private","Service center only","","","2/12/2024 12:00:00 AM","","ELEC","Private",39776,"","3/15/2011 12:00:00 AM","P","","E","","CAR_DEALER","Rairdon's Nissan - Auburn","","2/12/2025 12:16:32 AM","200-9",47.338754,-122.221114,"Auburn","US","",NA,"WA","713 35th St NE","98002","",NA,"",NA,"","",NA,NA,"",NA,"","[J1772]",NA,"",1,"Non-Networked","","","","",0,NA,"","","",NA,"","","",NA,"","","","","",NA,NA,"",NA,NA,NA,"Privé",NA,NA,"","","","",-122.2211140003,47.3387540001575
"2995","public","Dealership business hours","CALL","","2/12/2024 12:00:00 AM","","ELEC","Public - Call ahead",39778,"LD","3/15/2011 12:00:00 AM","P","0","E","","CAR_DEALER","Bellingham Nissan","360-733-7300","2/12/2025 12:16:32 AM","200-8",48.75573,-122.45411,"Bellingham","US","",NA,"WA","1516 Iowa St","98229","",NA,"",NA,"","",NA,NA,"",NA,"","[""CHADEMO"",""J1772""]",1,"",2,"Non-Networked","","","Free","",0,NA,"","","",NA,"","","",NA,"","","","","",NA,NA,"",NA,NA,NA,"Public - Appeler à l'avance",NA,NA,"","","","",-122.454109999609,48.7557299999187
"2996","public","Dealership business hours","CALL","","2/12/2024 12:00:00 AM","","ELEC","Public - Call ahead",39779,"LD","3/15/2011 12:00:00 AM","P","0","E","","CAR_DEALER","Advantage Nissan","360-373-6300","2/12/2025 12:16:32 AM","200-9",47.562162,-122.684286,"Bremerton","US","",NA,"WA","5101 Auto Center Blvd","98312","",NA,"",NA,"","",NA,NA,"",NA,"","[J1772]",NA,"",1,"Non-Networked","","","Free","",0,NA,"","","",NA,"","","",NA,"","","","","",NA,NA,"",NA,NA,NA,"Public - Appeler à l'avance",NA,NA,"","","","",-122.684286000392,47.5621620002075
"2997","public","Dealership business hours","CALL","","2/12/2024 12:00:00 AM","","ELEC","Public - Call ahead",39780,"LD","3/15/2011 12:00:00 AM","P","0","E","","CAR_DEALER","Burien Nissan","206-242-7070","2/12/2025 12:16:32 AM","200-8",47.45832,-122.33325,"Burien","US","",NA,"WA","16042 1st Ave S","98148","",NA,"",NA,"","",NA,NA,"",NA,"","[""CHADEMO"",""J1772""]",1,"",2,"Non-Networked","","","Free","",0,NA,"","","",NA,"","","",NA,"","","","","",NA,NA,"",NA,NA,NA,"Public - Appeler à l'avance",NA,NA,"","","","",-122.333250000124,47.4583199997284
"2998","public","Dealership business hours","CALL","","2/12/2024 12:00:00 AM","","ELEC","Public - Call ahead",39782,"LD","3/15/2011 12:00:00 AM","P","0","E","","CAR_DEALER","Campbell-Nelson Nissan","","2/12/2025 12:16:32 AM","GPS",47.778229,-122.344838,"Edmonds","US","",NA,"WA","24325 Highway 99","98026","",NA,"",NA,"","",NA,NA,"",NA,"","[J1772]",NA,"",2,"Non-Networked","","","Free","",0,NA,"","","",NA,"","","",NA,"","","","","",NA,NA,"",NA,NA,NA,"Public - Appeler à l'avance",NA,NA,"","","","",-122.344837999591,47.7782289997383
"2999","public","Dealership business hours","CALL","","2/12/2024 12:00:00 AM","","ELEC","Public - Call ahead",39786,"LD","3/15/2011 12:00:00 AM","P","0","E","","CAR_DEALER","Olympia Nissan","360-352-8558","2/12/2025 12:16:32 AM","200-8",47.03101,-122.9298,"Olympia","US","",NA,"WA","2220 Carriage Dr SW","98502","",NA,"",NA,"","",NA,NA,"",NA,"","[""CHADEMO"",""J1772"",""J1772COMBO""]",1,"",1,"Non-Networked","","","Free","",0,NA,"","","",NA,"","","",NA,"","","","","",NA,NA,"",NA,NA,NA,"Public - Appeler à l'avance",NA,NA,"","","","",-122.92979999983,47.031010000052
"3000","public","Dealership business hours","CALL","","2/12/2024 12:00:00 AM","","ELEC","Public - Call ahead",39787,"","3/15/2011 12:00:00 AM","P","0","E","","CAR_DEALER","Bill Robertson Nissan","509-545-3000","2/12/2025 12:16:32 AM","200-9",46.236607,-119.128998,"Pasco","US","",NA,"WA","928 N 28th Ave","99301","",NA,"",NA,"","",NA,NA,"",NA,"","[J1772]",NA,"",1,"Non-Networked","","","Free","",0,NA,"","","",NA,"","","",NA,"","","","","",NA,NA,"",NA,NA,NA,"Public - Appeler à l'avance",NA,NA,"","","","",-119.128998000243,46.236606999822
"3001","public","Dealership business hours","CALL","","2/12/2024 12:00:00 AM","","ELEC","Public - Call ahead",39788,"LD","3/15/2011 12:00:00 AM","P","0","E","","CAR_DEALER","Dan Wilder Nissan","360-452-9268","2/12/2025 12:16:32 AM","200-8",48.10274,-123.34307,"Port Angeles","US","",NA,"WA","53 Jetta Way","98362","",NA,"",NA,"","",NA,NA,"",NA,"","[""CHADEMO"",""J1772""]",1,"",2,"Non-Networked","","","Free","",0,NA,"","","",NA,"","","",NA,"","","","","",NA,NA,"",NA,NA,NA,"Public - Appeler à l'avance",NA,NA,"","","","",-123.343070000188,48.1027399998688
"3002","public","Dealership business hours","CALL","","2/12/2024 12:00:00 AM","","ELEC","Public - Call ahead",39789,"LD","3/15/2011 12:00:00 AM","P","0","E","","CAR_DEALER","Bill Korum's Puyallup Nissan","253-848-4507","2/12/2025 12:16:32 AM","200-8",47.20763,-122.29502,"Puyallup","US","",NA,"WA","101 Valley Ave NW","98371","",NA,"",NA,"","",NA,NA,"",NA,"","[""CHADEMO"",""J1772"",""J1772COMBO""]",1,"",1,"Non-Networked","","","Free","",0,NA,"","","",NA,"","","",NA,"","","","","",NA,NA,"",NA,NA,NA,"Public - Appeler à l'avance",NA,NA,"","","","",-122.29502000042,47.2076299999461
"3003","public","Dealership business hours","CALL","","2/12/2024 12:00:00 AM","","ELEC","Public - Call ahead",39791,"LD","3/15/2011 12:00:00 AM","P","0","E","","CAR_DEALER","Younker Nissan","","2/12/2025 12:16:32 AM","200-8",47.44822,-122.21915,"Renton","US","",NA,"WA","3401 E Valley Rd","98058","",NA,"",NA,"","",NA,NA,"",NA,"","[""CHADEMO"",""J1772"",""J1772COMBO""]",1,"",1,"Non-Networked","","","Free","",0,NA,"","","",NA,"","","",NA,"","","","","",NA,NA,"",NA,NA,NA,"Public - Appeler à l'avance",NA,NA,"","","","",-122.219150000119,47.4482200002219
"3004","public","Dealership business hours","CALL","","2/12/2024 12:00:00 AM","","ELEC","Public - Call ahead",39795,"","3/15/2011 12:00:00 AM","P","0","E","","CAR_DEALER","Wendle Nissan","509-468-9000","2/12/2025 12:16:32 AM","200-9",47.739021,-117.409937,"Spokane","US","",NA,"WA","9000 N Division St","99218","",NA,"",NA,"","",NA,NA,"",NA,"","[J1772]",NA,"",1,"Non-Networked","","","Free","",0,NA,"","","",NA,"","","",NA,"","","","","",NA,NA,"",NA,NA,NA,"Public - Appeler à l'avance",NA,NA,"","","","",-117.409936999907,47.7390210001686
"3005","public","Dealership business hours","CALL","","2/12/2024 12:00:00 AM","","ELEC","Public - Call ahead",39796,"LD","3/15/2011 12:00:00 AM","P","0","E","","CAR_DEALER","Dave Smith Nissan - Spokane","509-924-6242","2/12/2025 12:16:32 AM","200-8",47.65722,-117.31236,"Spokane Valley","US","",NA,"WA","6901 E Sprague Ave","99212","",NA,"",NA,"","",NA,NA,"",NA,"","[""CHADEMO"",""J1772""]",1,"",2,"Non-Networked","","","Free","",0,NA,"","","",NA,"","","",NA,"","","","","",NA,NA,"",NA,NA,NA,"Public - Appeler à l'avance",NA,NA,"","","","",-117.312360000385,47.6572200000336
"3006","public","Dealership business hours","CALL","","2/12/2024 12:00:00 AM","","ELEC","Public - Call ahead",39797,"LD","3/15/2011 12:00:00 AM","P","0","E","","CAR_DEALER","Tacoma Nissan","253-473-6200","2/12/2025 12:16:32 AM","200-8",47.21972,-122.48567,"Tacoma","US","",NA,"WA","4030 S Tacoma Way","98409","",NA,"",NA,"","",NA,NA,"",NA,"","[""CHADEMO"",""J1772"",""J1772COMBO""]",1,"",1,"Non-Networked","","","Free","",0,NA,"","","",NA,"","","",NA,"","","","","",NA,NA,"",NA,NA,NA,"Public - Appeler à l'avance",NA,NA,"","","","",-122.485670000243,47.2197200000895
"3007","public","Dealership business hours","CALL","","2/12/2024 12:00:00 AM","","ELEC","Public - Call ahead",39798,"LD","3/15/2011 12:00:00 AM","P","0","E","","CAR_DEALER","Alan Webb Nissan","360-892-9004","2/12/2025 12:16:32 AM","200-8",45.64821,-122.59841,"Vancouver","US","",NA,"WA","3608 NE Auto Mall Dr","98662","",NA,"",NA,"","",NA,NA,"",NA,"","[""CHADEMO"",""J1772"",""J1772COMBO""]",1,"",1,"Non-Networked","","","Free","",0,NA,"","","",NA,"","","",NA,"","","","","",NA,NA,"",NA,NA,NA,"Public - Appeler à l'avance",NA,NA,"","","","",-122.598410000315,45.6482099996903
"3008","public","Dealership business hours","CALL","","2/12/2024 12:00:00 AM","","ELEC","Public - Call ahead",39799,"","3/15/2011 12:00:00 AM","P","0","E","","CAR_DEALER","O'Brien Nissan","509-529-7000","2/12/2025 12:16:32 AM","200-9",46.047464,-118.353406,"Walla Walla","US","",NA,"WA","1395 Dalles Military Rd","99362","",NA,"",NA,"","",NA,NA,"",NA,"","[J1772]",NA,"",1,"Non-Networked","","","Free","",0,NA,"","","",NA,"","","",NA,"","","","","",NA,NA,"",NA,NA,NA,"Public - Appeler à l'avance",NA,NA,"","","","",-118.353406000273,46.0474640001468
"3212","public","24 hours daily","","","3/26/2025 12:00:00 AM","","ELEC","Public",40383,"","5/15/2011 12:00:00 AM","","","E","","","KEY CENTER KEY CENTER 6","888-758-4389","3/26/2025 1:35:14 AM","GPS",47.616104,-122.19696,"Bellevue","US","Located on Down Ramp",NA,"WA","601 108th Ave NE","98004","",NA,"",NA,"","",NA,NA,"",NA,"","[J1772]",NA,"",2,"ChargePoint Network","https://www.chargepoint.com","","","",0,NA,"","","",NA,"","","",NA,"","","","","",NA,NA,"",NA,NA,NA,"Public",NA,NA,"","","[USCPIL2075181]","[""2469801"",""2469811""]",-122.196960000126,47.6161040000872
"3213","public","24 hours daily","","","3/26/2025 12:00:00 AM","","ELEC","Public",40384,"","5/15/2011 12:00:00 AM","","","E","","","KRC SKYLINE SKYLINE #1","888-758-4389","3/26/2025 1:27:50 AM","GPS",47.61434,-122.194037,"Bellevue","US","Inside parking garage on right side",NA,"WA","10900 NE 4th St","98004","",NA,"",NA,"","",NA,NA,"",NA,"","[J1772]",NA,"",2,"ChargePoint Network","https://www.chargepoint.com","","","",0,NA,"","","",NA,"","","",NA,"","","","","",NA,NA,"",NA,NA,NA,"Public",NA,NA,"","","[USCPIL1846191]","[""26804791"",""26804801""]",-122.19403699987,47.6143399999167
"3331","public","Garage business hours; see the valet for access","","","6/13/2024 12:00:00 AM","","ELEC","Public",41579,"LD","10/1/2011 12:00:00 AM","P","0","E","","PARKING_GARAGE","Caplan's Rainbow Parking","206-682-2991","2/12/2025 12:16:32 AM","200-8",47.604115,-122.332907,"Seattle","US","",NA,"WA","214 Columbia St","98104","",NA,"",NA,"","",NA,NA,"",NA,"","[J1772]",NA,"",2,"Non-Networked","","","Free","",0,NA,"","","",NA,"","","",NA,"","","","","",NA,NA,"",NA,NA,NA,"Public",NA,NA,"","","","",-122.332906999992,47.6041150000361
"3360","public","24 hours daily","","","3/26/2025 12:00:00 AM","","ELEC","Public",41776,"","12/31/2011 12:00:00 AM","","","E","","","CITY OF SEATAC CITY HALL 1","888-758-4389","3/26/2025 1:11:46 AM","GPS",47.434021,-122.273183,"SeaTac","US","",NA,"WA","4800 S 188th St","98188","",NA,"",NA,"","",NA,NA,"",NA,"","[J1772]",NA,"",2,"ChargePoint Network","https://www.chargepoint.com","","","",0,NA,"","","",NA,"","","",NA,"","","","","",NA,NA,"",NA,NA,NA,"Public",NA,NA,"","","[USCPIL204445]","[""276251"",""276253""]",-122.273182999706,47.4340210000981
"3361","private","","","","10/11/2024 12:00:00 AM","","ELEC","Private",41779,"","10/15/2011 12:00:00 AM","T","","E","","UTILITY","Puget Sound Energy","","2/12/2025 12:16:32 AM","GPS",47.22213,-122.478493,"Tacoma","US","",NA,"WA","3130 S 38th St","98409","",NA,"",NA,"","",NA,NA,"",NA,"","[J1772]",NA,"",1,"Non-Networked","","","","",0,NA,"","","",NA,"","","",NA,"","","","","",NA,NA,"",NA,NA,NA,"Privé",NA,NA,"","","","",-122.478493000112,47.2221300000722
"3380","private","Fleet use only","","","8/10/2023 12:00:00 AM","","ELEC","Private",42044,"LD","11/30/2011 12:00:00 AM","LG","","E","","MUNI_GOV","City of Tacoma - Municipal Building","","1/31/2024 10:07:01 PM","200-9",47.255854,-122.44172,"Tacoma","US","Located in staff parking garage",NA,"WA","747 Market St","98402","",NA,"",NA,"","",NA,NA,"",NA,"","[J1772]",NA,"",2,"Non-Networked","","","","",0,NA,"","","",NA,"","","",NA,"","","","","",NA,NA,"",NA,NA,NA,"Privé",NA,NA,"","","","",-122.441720000426,47.2558540001858
"3397","public","24 hours daily","","","3/26/2025 12:00:00 AM","2/18/2025 12:00:00 AM","ELEC","TEMPORARILY UNAVAILABLE (Public)",42228,"","11/15/2011 12:00:00 AM","","","T","","","BELLEVUE SBCC #2","888-758-4389","3/26/2025 1:36:38 AM","GPS",47.568886,-122.145268,"Bellevue","US","Right-Hand Station",NA,"WA","14509 SE Newport Way","98006","",NA,"",NA,"","",NA,NA,"",NA,"","[J1772]",NA,"",2,"ChargePoint Network","https://www.chargepoint.com","","","",0,NA,"","","",NA,"","","",NA,"","","","","",NA,NA,"",NA,NA,NA,"TEMPORAIREMENT SUSPENDU (Public)",NA,NA,"","","[USCPIL2109291]","[""2515301"",""2515311""]",-122.145268000288,47.5688859997087
"3488","public","24 hours daily","","","3/26/2025 12:00:00 AM","8/6/2024 12:00:00 AM","ELEC","TEMPORARILY UNAVAILABLE (Public)",43299,"","1/15/2012 12:00:00 AM","","","T","","","IBEW LOCAL 46 IBEW LOCAL 46 1","888-758-4389","3/26/2025 1:14:45 AM","GPS",47.424222,-122.256619,"Kent","US","West side of IBEW Local 46",NA,"WA","19802 62nd Ave S","98032","",NA,"",NA,"","",NA,NA,"",NA,"","[J1772]",NA,"",2,"ChargePoint Network","https://www.chargepoint.com","","","",0,NA,"","","",NA,"","","",NA,"","","","","",NA,NA,"",NA,NA,NA,"TEMPORAIREMENT SUSPENDU (Public)",NA,NA,"","","[USCPIL286761]","[""25563361"",""25563371""]",-122.256619000114,47.4242220000688
"3489","public","24 hours daily","","","3/26/2025 12:00:00 AM","","ELEC","Public",43303,"","1/15/2012 12:00:00 AM","","","E","","","VALLEY MED CTR MAIN LOT #5","888-758-4389","3/26/2025 12:53:27 AM","GPS",47.443255,-122.212445,"Renton","US","",NA,"WA","400 S 43rd St","98055","",NA,"",NA,"","",NA,NA,"",NA,"","[J1772]",NA,"",2,"ChargePoint Network","https://www.chargepoint.com","","","",0,NA,"","","",NA,"","","",NA,"","","","","",NA,NA,"",NA,NA,NA,"Public",NA,NA,"","","[USCPIL96239]","[""9178531"",""9178541""]",-122.212444999991,47.4432550000443
"3490","public","24 hours daily","","","3/26/2025 12:00:00 AM","6/17/2024 12:00:00 AM","ELEC","TEMPORARILY UNAVAILABLE (Public)",43305,"","1/15/2012 12:00:00 AM","","","T","","","VALLEY MED CTR N GARAGE #1","888-758-4389","3/26/2025 1:15:45 AM","GPS",47.444606,-122.214491,"Renton","US","Ground Floor SW Corner",NA,"WA","4033 Talbot Rd S","98055","",NA,"",NA,"","",NA,NA,"",NA,"","[J1772]",NA,"",2,"ChargePoint Network","https://www.chargepoint.com","","","",0,NA,"","","",NA,"","","",NA,"","","","","",NA,NA,"",NA,NA,NA,"TEMPORAIREMENT SUSPENDU (Public)",NA,NA,"","","[USCPIL376691]","[""25317731"",""25317741""]",-122.214491000188,47.4446060001778
"3564","private","","","","9/14/2023 12:00:00 AM","","ELEC","Private",43795,"LD","1/12/2017 12:00:00 AM","LG","","E","","MUNI_GOV","City of Renton - City Shops","","1/31/2024 10:07:01 PM","200-9",47.483635,-122.170748,"Renton","US","",NA,"WA","3555 NE 2nd St","98056","",NA,"",NA,"","",NA,NA,"",NA,"","[J1772]",NA,"",2,"Non-Networked","","","","",0,NA,"","","",NA,"","","",NA,"","","","","",NA,NA,"",NA,NA,NA,"Privé",NA,NA,"","","","",-122.17074800006,47.4836350000886
"3565","private","24 hours daily","","","12/13/2023 12:00:00 AM","","ELEC","Private",43796,"LD","1/12/2017 12:00:00 AM","LG","","E","","MUNI_GOV","City of Renton - City Hall","","1/31/2024 10:07:01 PM","200-9",47.474537,-122.204976,"Renton","US","",NA,"WA","1055 S Grady Way","98057","",NA,"",NA,"","",NA,NA,"",NA,"","[J1772]",NA,"",2,"Non-Networked","","","Free","",0,NA,"","","",NA,"","","",NA,"","","","","",NA,NA,"",NA,NA,NA,"Privé",NA,NA,"","","","",-122.204975999782,47.4745370000817
"3566","public","24 hours daily","","","3/26/2025 12:00:00 AM","","ELEC","Public",43804,"","1/31/2012 12:00:00 AM","","","E","","","TAC PW PARKING A ST GARAGE 01","888-758-4389","3/26/2025 1:15:25 AM","GPS",47.253809,-122.437429,"Tacoma","US","2nd Floor, Tacoma Pkg Garage @ 110 S 10th",NA,"WA","110 S 10th St","98402","",NA,"",NA,"","",NA,NA,"",NA,"","[J1772]",NA,"",2,"ChargePoint Network","https://www.chargepoint.com","","","",0,NA,"","","",NA,"","","",NA,"","","","","",NA,NA,"",NA,NA,NA,"Public",NA,NA,"","","[USCPIL342971]","[""22728501"",""22728511""]",-122.437428999842,47.2538089999076
"3567","public","24 hours daily","","","3/26/2025 12:00:00 AM","","ELEC","Public",43806,"","1/31/2012 12:00:00 AM","","","E","","","TAC PW PARKING GLASS MSM CP 01","888-758-4389","3/26/2025 1:15:25 AM","GPS",47.245934,-122.43398,"Tacoma","US","Across from the museum elevators",NA,"WA","1801 Dock St","98402","",NA,"",NA,"","",NA,NA,"",NA,"","[J1772]",NA,"",2,"ChargePoint Network","https://www.chargepoint.com","","","",0,NA,"","","",NA,"","","",NA,"","","","","",NA,NA,"",NA,NA,NA,"Public",NA,NA,"","","[USCPIL342931]","[""465701"",""465711""]",-122.433980000055,47.2459340000286
